2022-07-18 09:59:34,692 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-07-18 09:59:34,770 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-07-18 09:59:34,771 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2022-07-18 09:59:34,772 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2022-07-18 09:59:34,777 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-07-18 09:59:34,778 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-07-18 09:59:34,779 INFO  SwAddin.cs: 201 - Setting up command manager
2022-07-18 09:59:34,780 INFO  SwAddin.cs: 204 - Adding command manager
2022-07-18 09:59:34,785 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-07-18 09:59:34,786 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-07-18 09:59:34,787 INFO  SwAddin.cs: 210 - Adding event handlers
2022-07-18 09:59:34,871 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-07-18 10:05:23,677 INFO  SwAddin.cs: 294 - Assembly export called for file Real Bo Motor With Wheel
2022-07-18 10:05:23,680 INFO  SwAddin.cs: 299 - Save is required
2022-07-18 10:05:23,681 INFO  SwAddin.cs: 313 - Saving assembly
2022-07-18 10:05:24,876 INFO  SwAddin.cs: 316 - Opening property manager
2022-07-18 10:05:24,907 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Real Bo Motor With Wheel
2022-07-18 10:05:24,920 INFO  ExportHelperExtension.cs: 1136 - Found 23 in Real Bo Motor With Wheel
2022-07-18 10:05:24,921 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Real Bo Motor With Wheel
2022-07-18 10:05:24,922 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-07-18 10:05:24,924 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-07-18 10:05:24,927 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Real Wheel-1
2022-07-18 10:05:24,928 INFO  ExportHelperExtension.cs: 1136 - Found 24 in Real Wheel-1
2022-07-18 10:05:24,928 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Real Wheel-1
